"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","peopl","govern","nation","america","secur","will","program","right","tax","republican"
"2","power","feder","will","peopl","unit","work","provid","law","busi","democrat"
"3","upon","public","polici","one","peac","american","will","state","increas","presid"
"4","countri","state","must","world","world","make","support","citizen","product","parti"
"5","shall","legisl","develop","can","nation","famili","health","protect","economi","year"
"6","may","effect","new","time","forc","educ","care","support","job","administr"
"7","nation","system","econom","know","war","must","need","equal","worker","american"
"8","great","requir","use","countri","will","can","assist","enforc","econom","first"
"9","principl","pledg","energi","now","intern","opportun","includ","human","trade","time"
"10","everi","congress","resourc","come","militari","children","communiti","polit","market","congress"
